2000074637:007965,910405,1027663,40,30-21332,54336 CLASSIC BLUE B075 - 35995,6/2/2013,RAJIKAS,6/27/2013,"2,920",M,,,B
2000074637:007965,910405,1027663,30,30-21333,54336 ROSSO NATALE 2473 - 35997,6/2/2013,RAJIKAS,7/19/2013,"4,920",M,7,98,A
2000074939:035141,910191,1027666,70,30-05343,51330 BLACK 006 - 9831,7/18/2013,RAJIKAS,7/19/2013,200,M,7,,B
2000074939:035141,910191,1027666,70,30-05343,51330 BLACK 006 - 9831,7/18/2013,RAJIKAS,7/24/2013,0,M,7,,B
2000074939:035141,910191,1027666,60,30-21334,51330 CLASSIC BLUE B075 - 35996,6/2/2013,RAJIKAS,7/4/2013,250,M,7,,B
4062427,910360,1027678,20,30-21127,"54850L NATURALLE ""SUEDE"" - 35535",7/17/2013,RIFKIM,8/8/2013,900,M,7,,B
4062427,910360,1027678,20,30-21127,"54850L NATURALLE ""SUEDE"" - 35535",7/17/2013,RIFKIM,8/25/2013,100,M,7,,B
2000071729; 34908,910191,1027709,50,30-15905,"53536 GRIGIO MELANGE ""SUEDE"" - 27723",6/15/2013,RIFKIM,7/21/2013,"13,100",M,,,C
3051637,910360,1027722,50,30-21597,53808 TEAL GREEN - 36453,7/18/2013,SANJAYAP,7/24/2013,504,M,,,C
4800349739,910002,1027727,50,30-19254,44310 BLACK 093 - 32783,6/22/2013,PRASANNAM,7/22/2013,35,M,,,C
4070173,910360,1027744,70,30-20379,52653 PITCH BLACK 2585 - 27119,6/27/2013,INDRAJITHM,7/24/2013,36,M,,,B
4500105790,910005,1027765,20,30-19539,41325 BLACK (093) - 34193,6/11/2013,NIROSHRU,6/27/2013,"3,126",M,,,C
4500105790,910005,1027765,30,30-19539,41325 BLACK (093) - 34193,6/11/2013,NIROSHRU,7/8/2013,232,M,7,,B
1057858,910360,1027820,50,30-21306,"Y3-0883C CHOCOLATE/NEON BL ""F/S"" - 35956",6/13/2013,SANJAYAP,8/1/2013,"1,601",M,,,B
sss,910386,1027826,60,30-18982,51022 OPTIC WHITE (11 0601TCX) - 33357,7/14/2013,NILANA,7/30/2013,137,M,,,C
sss,910386,1027826,50,30-19659,51022 PINK LADY 13 2806 - 34328,6/6/2013,NILANA,7/11/2013,"1,300",M,,,C
sss,910386,1027826,50,30-19659,51022 PINK LADY 13 2806 - 34328,6/6/2013,NILANA,7/18/2013,"7,644",M,,,C
2000076117; 35257,910191,1027837,20,30-20692,53698 NERO 006 - 35403,7/20/2013,RIFKIM,7/31/2013,"31,240",M,,,C
Instant-F-86 - BIA-0,910360,1027840,50,30-20387,"41325 SEA FOAM BLUE 34M1 ""IN Y"" - 34981",6/3/2013,NIROSHRU,7/31/2013,28,M,,,C
4800350549,910002,1027865,90,30-20936,43328 PLMSTRUCK 3RM - 35588,6/27/2013,PRASANNAM,7/31/2013,50,M,,,C
BIA 2186,910360,1027875,120,30-21384,44734 2558 WHITE DIAMOND GEO 89864 C209,6/12/2013,PRASANNAM,7/18/2013,541,M,,,C
4072066,910360,1027885,40,30-20915,42773 2461 ANIMAL PRINT 20044 C0221,6/12/2013,PRASANNAM,8/3/2013,8,M,,,C
Chase ORders for DS,910360,1027894,80,30-19797,43424 2362 STRPEMLTI (DC4)-VSC7741 CC 1,6/21/2013,PRASANNAM,8/4/2013,8,M,,,C
Udena- T-shirt Order,910360,1027916,80,30-21318,"C1-0057A COLL RED 15""x 4"" - 35939",6/22/2013,RAJIKAS,8/10/2013,200,PC,,,C
Udena- T-shirt Order,910360,1027916,90,30-21319,"C1-0057A COLL RED 15.75""x 4"" - 35939",6/22/2013,RAJIKAS,8/10/2013,80,PC,,,C
Udena- T-shirt Order,910360,1027916,100,30-21320,"C1-0057A COLL RED 16.5""x 4"" - 35939",6/22/2013,RAJIKAS,8/10/2013,355,PC,,,C
Udena- T-shirt Order,910360,1027916,110,30-21321,"C1-0057A COLL RED 17.25""x 4"" - 35939",6/22/2013,RAJIKAS,8/10/2013,15,PC,,,C
Udena- T-shirt Order,910360,1027916,120,30-21322,"C1-0058A CUFF RED 16""x 1.5"" - 35939",6/22/2013,RAJIKAS,8/10/2013,350,PC,,,C
3052215,910360,1027924,90,30-20320,"Y3-0829A NAVY/B13 ""F/S"" - 34791",6/28/2013,SANJAYAP,7/16/2013,600,M,,,B
3052215,910360,1027924,90,30-20320,"Y3-0829A NAVY/B13 ""F/S"" - 34791",6/28/2013,SANJAYAP,7/17/2013,675,M,,,B
3052215,910360,1027924,70,30-20321,"Y3-0829B MED DENIM BLUE/B13""F/S"" - 34792",6/28/2013,SANJAYAP,7/16/2013,600,M,,,C
3052215,910360,1027924,70,30-20321,"Y3-0829B MED DENIM BLUE/B13""F/S"" - 34792",6/28/2013,SANJAYAP,7/17/2013,675,M,,,C
3052215,910360,1027924,80,30-20322,"Y3-0829C NAVY/B13 ""F/S"" - 34793",6/28/2013,SANJAYAP,7/16/2013,600,M,,,C
3052215,910360,1027924,80,30-20322,"Y3-0829C NAVY/B13 ""F/S"" - 34793",6/28/2013,SANJAYAP,7/17/2013,675,M,,,C
4800352839,910002,1027947,90,30-21257,11952 GRAPE JAM P61 - 35906,7/30/2013,PRASANNAM,8/12/2013,19,M,,,C
4800352839,910002,1027947,80,30-21308,11952 TARTY LIME 49V - 35967,7/30/2013,PRASANNAM,8/12/2013,16,M,,,C
4800352839,910002,1027947,70,30-21260,43328 CRIMSON 92Q5 - 35884,7/4/2013,PRASANNAM,8/12/2013,8,M,,,C
4600002362/460000238,910541,1027960,20,30-16911,43877 VS WHITE 95D1 - 29193,6/17/2013,INDRAJITHM,8/12/2013,162,M,,,C
4800350563,910002,1027966,60,30-21257,11952 GRAPE JAM P61 - 35906,7/3/2013,PRASANNAM,8/12/2013,5,M,,,C
4800350563,910002,1027966,50,30-21259,43328 GRAPE JAM  P61 - 35905,7/3/2013,PRASANNAM,8/12/2013,5,M,7,98,A
BIA 2197,910360,1027975,60,30-21344,42599 BRIGHT CHERRY 1UET - 36003,6/4/2013,PRASANNAM,7/11/2013,"3,416",M,,,C
BIA 2197,910360,1027975,70,30-21345,42599 ORCHID BOUQUET 07HX - 36004,6/4/2013,PRASANNAM,7/12/2013,658,M,,,C
BIA 2197,910360,1027975,70,30-21345,42599 ORCHID BOUQUET 07HX - 36004,6/4/2013,PRASANNAM,7/11/2013,"2,000",M,,,C
BIA 2197,910360,1027975,70,30-21345,42599 ORCHID BOUQUET 07HX - 36004,6/4/2013,PRASANNAM,7/13/2013,"2,000",M,,,C
BIA 2197,910360,1027975,70,30-21345,42599 ORCHID BOUQUET 07HX - 36004,6/4/2013,PRASANNAM,7/14/2013,0,M,,,C
BIA 2197,910360,1027975,70,30-21345,42599 ORCHID BOUQUET 07HX - 36004,6/4/2013,PRASANNAM,7/14/2013,0,M,,,C
BIA 2197,910360,1027975,70,30-21345,42599 ORCHID BOUQUET 07HX - 36004,6/4/2013,PRASANNAM,7/14/2013,0,M,,,C
BIA 2197,910360,1027975,70,30-21345,42599 ORCHID BOUQUET 07HX - 36004,6/4/2013,PRASANNAM,7/18/2013,0,M,,,C
BIA 2197,910360,1027975,80,30-21376,44734 2554 BLUE ANIMAL 21089 C212,6/11/2013,PRASANNAM,7/18/2013,550,M,,,C
BIA 2197,910360,1027975,90,30-21377,44734 2555 ORCHID STRIPE 30106 C215,6/11/2013,PRASANNAM,7/23/2013,300,M,,,C
BIA 2197,910360,1027975,90,30-21377,44734 2555 ORCHID STRIPE 30106 C215,6/11/2013,PRASANNAM,7/24/2013,300,M,,,C
BIA 2197,910360,1027975,90,30-21377,44734 2555 ORCHID STRIPE 30106 C215,6/11/2013,PRASANNAM,7/26/2013,0,M,,,C
BIA 2197,910360,1027975,90,30-21377,44734 2555 ORCHID STRIPE 30106 C215,6/11/2013,PRASANNAM,7/26/2013,0,M,,,C
BIA 2197,910360,1027975,100,30-21378,44734 2556 RED LEOPARD 21089 C214,6/11/2013,PRASANNAM,7/18/2013,666,M,,,C
4071907,910360,1027995,60,30-18617,41325 JET LAG OLTV (SP 13) - 31974,6/3/2013,NIROSHRU,6/20/2013,"4,245",M,,,C
4071907,910360,1027995,50,30-21330,41325 SOFT IRIS 33P4 - 35416,6/3/2013,NIROSHRU,6/27/2013,"3,590",M,,,C
7985/79850/79852,910625,1027999,20,30-19729,43330 RITCH BLACK - 34132,6/25/2013,INDRAJITHM,8/14/2013,15,M,,,C
2000076797:035300,910191,1028000,20,30-10813,51330 ROSSO NATALE 2473 - 18863,6/7/2013,RAJIKAS,8/1/2013,720,M,,,C
2000076797:035300,910191,1028000,10,30-10876,51330 ROSSO NATALE 2473 - 20170,6/1/2013,RAJIKAS,6/27/2013,720,M,7,,A
2000074160:034980,910191,1028001,10,30-21090,51330 NERO FUMO 803 - 35745,6/1/2013,RAJIKAS,7/4/2013,690,M,,,C
2000073442:034957,910191,1028002,10,30-21104,51330 BRIGE B380 - 35748,6/1/2013,RAJIKAS,6/27/2013,540,M,,,C
2000075867:035212,910191,1028003,10,30-19392,51330 GREEN FLASH - 33965,6/1/2013,RAJIKAS,6/21/2013,40,M,,,C
2000075867:035212,910191,1028003,10,30-19392,51330 GREEN FLASH - 33965,6/1/2013,RAJIKAS,6/26/2013,0,M,,,C
2000076780:008041,910405,1028004,20,30-10813,51330 ROSSO NATALE 2473 - 18863,6/7/2013,RAJIKAS,7/25/2013,600,M,,,C
2000076780:008041,910405,1028004,20,30-10813,51330 ROSSO NATALE 2473 - 18863,6/7/2013,RAJIKAS,8/1/2013,450,M,,,C
2000076780:008041,910405,1028004,10,30-10876,51330 ROSSO NATALE 2473 - 20170,6/1/2013,RAJIKAS,8/15/2013,"1,050",M,7,98,A
1000085,910395,1028005,10,30-17302,"53928 WHITE - 29866 ""PFP""",6/1/2013,LAKMALIH,6/14/2013,"1,500",M,,,C
1000084,910395,1028006,10,30-17302,"53928 WHITE - 29866 ""PFP""",6/1/2013,LAKMALIH,6/18/2013,"1,200",M,,,C
1000084,910395,1028006,10,30-17302,"53928 WHITE - 29866 ""PFP""",6/1/2013,LAKMALIH,6/19/2013,0,M,,,C
1000083,910395,1028007,10,30-17302,"53928 WHITE - 29866 ""PFP""",6/1/2013,LAKMALIH,6/17/2013,"1,200",M,,,C
1000083,910395,1028007,10,30-17302,"53928 WHITE - 29866 ""PFP""",6/1/2013,LAKMALIH,6/19/2013,0,M,,,C
1000092,910395,1028008,10,30-20326,54547 WHITE - 34921,6/1/2013,LAKMALIH,6/27/2013,"1,600",M,,,C
4800346345,910002,1028009,10,30-21300,52792 2547 AMBITION,6/1/2013,RAJIKAS,7/20/2013,"1,308",M,7,,B
4800346345,910002,1028009,20,30-21301,52792 2548 BAROUQUE,6/1/2013,RAJIKAS,7/20/2013,"1,239",M,,,C
4800347085,910002,1028010,10,30-17488,52150 BRIGHT WHITE (NEW) - 26562,6/1/2013,RAJIKAS,7/4/2013,550,M,,,C
2000076873; 8045,910405,1028011,10,30-21333,54336 ROSSO NATALE 2473 - 35997,6/2/2013,RAJIKAS,6/20/2013,"1,000",M,,,C
2000076873; 8045,910405,1028011,10,30-21333,54336 ROSSO NATALE 2473 - 35997,6/2/2013,RAJIKAS,6/24/2013,"4,000",M,,,C
2000076873; 8045,910405,1028011,10,30-21333,54336 ROSSO NATALE 2473 - 35997,6/2/2013,RAJIKAS,6/28/2013,"4,000",M,,,C
4065933,910360,1028012,10,30-16836,51246 MARINE BLUE - 27772,6/2/2013,GAYATHRIB,6/11/2013,750,M,,,B
4065933,910360,1028012,10,30-16836,51246 MARINE BLUE - 27772,6/2/2013,GAYATHRIB,12/31/2013,"1,750",M,,,B
3052678,910360,1028013,10,30-21137,"Y1-0166H B30 / GRNT ""F/S"" - 34822",6/2/2013,SANJEEWAA,8/1/2013,"2,667",M,,,C
3052678,910360,1028013,20,30-20215,"Y1-0166J CORNFLOWER / NAVY ""F/S"" - 34824",6/2/2013,SANJEEWAA,7/25/2013,"2,667",M,,,C
3052678,910360,1028013,30,30-20684,"Y1-0166K B8986/NAVY ""F/S"" - 35390",6/2/2013,SANJEEWAA,8/1/2013,"2,667",M,,,C
3052680,910360,1028014,20,30-17628,53818 GRANITE MSCC 47353B BCI - 30671,6/2/2013,SANJEEWAA,7/18/2013,806,M,,,C
3052680,910360,1028014,10,30-21154,"Y1-0820A RUBY/GRNT/B13/NAVY""F/S"" - 34819",6/2/2013,SANJEEWAA,7/18/2013,"5,997",M,,,B
4068838,910360,1028015,10,30-18835,54116 ULTRA MARINE KEY - 31455,6/2/2013,GAYATHRIB,6/17/2013,660,M,,,C
4068838,910360,1028015,10,30-18835,54116 ULTRA MARINE KEY - 31455,6/2/2013,GAYATHRIB,6/19/2013,0,M,,,C
4075039,910360,1028016,10,30-21331,53371 BLUE ATOLL 16 4535TCX - 35187,6/2/2013,GAYATHRIB,6/27/2013,500,M,,,C
4075039,910360,1028016,10,30-21331,53371 BLUE ATOLL 16 4535TCX - 35187,6/2/2013,GAYATHRIB,7/4/2013,"15,000",M,,,C
4075039,910360,1028016,10,30-21331,53371 BLUE ATOLL 16 4535TCX - 35187,6/2/2013,GAYATHRIB,7/11/2013,"15,000",M,,,C
4075039,910360,1028016,10,30-21331,53371 BLUE ATOLL 16 4535TCX - 35187,6/2/2013,GAYATHRIB,7/18/2013,"15,000",M,,,C
4075039,910360,1028016,10,30-21331,53371 BLUE ATOLL 16 4535TCX - 35187,6/2/2013,GAYATHRIB,7/25/2013,"7,600",M,,,C
4075039,910360,1028016,10,30-21331,53371 BLUE ATOLL 16 4535TCX - 35187,6/2/2013,GAYATHRIB,8/5/2013,"1,500",M,,,C
4075039,910360,1028016,10,30-21331,53371 BLUE ATOLL 16 4535TCX - 35187,6/2/2013,GAYATHRIB,8/3/2013,"3,000",M,,98,C
4075039,910360,1028016,10,30-21331,53371 BLUE ATOLL 16 4535TCX - 35187,6/2/2013,GAYATHRIB,8/4/2013,"3,000",M,,98,C
3052682,910360,1028017,10,30-17656,53808 BLACK MSCI 10005A BCI - 30686,6/2/2013,SANJEEWAA,7/4/2013,"1,217",M,,,C
3052682,910360,1028017,20,30-21147,53808 BURGUNDY MSCI 45265B - 35763,6/2/2013,SANJEEWAA,7/4/2013,"1,217",M,,,C
3052682,910360,1028017,30,30-21148,"Y3-0927A B13/BLK/BURGUNDY""F/S"" - 35760",6/2/2013,SANJEEWAA,7/4/2013,"2,713",M,,,B
3052690,910360,1028018,10,30-20315,"Y3-0828A NAVY/B13 ""F/S"" - 34788",6/2/2013,SANJEEWAA,7/18/2013,"1,641",M,,,B
3052690,910360,1028018,20,30-20316,"Y3-0828B MED DENIM/B13 ""F/S"" - 34789",6/2/2013,SANJEEWAA,7/18/2013,"1,641",M,,,B
3052690,910360,1028018,20,30-20316,"Y3-0828B MED DENIM/B13 ""F/S"" - 34789",6/2/2013,SANJEEWAA,7/24/2013,0,M,,,B
3052690,910360,1028018,30,30-20317,"Y3-0828C B13/NAVY ""F/S"" - 34790",6/2/2013,SANJEEWAA,7/18/2013,"1,641",M,,,B
3052692,910360,1028019,40,30-18682,53808 NAVY MSCI 44190C BCI - 32916,6/2/2013,SANJEEWAA,7/18/2013,500,M,,,C
3052692,910360,1028019,30,30-21304,"Y3-0893D B8261/NAVY ""F/S"" - 35951",6/2/2013,SANJEEWAA,7/18/2013,850,M,,,C
3052692,910360,1028019,10,30-21302,"Y3-0893F B4416/NAVY ""F/S"" - 35952",6/2/2013,SANJEEWAA,7/18/2013,850,M,,,C
3052692,910360,1028019,20,30-21303,"Y3-0893G B13/NAVY ""F/S"" - 35953",6/2/2013,SANJEEWAA,7/18/2013,850,M,,,C
2000076799:025305,910315,1028020,10,30-15232,51330 SETA 1194 - 24220,6/2/2013,RAJIKAS,8/16/2013,600,M,,,C
