DYE MACHINE	Actual St/ Code	Extended status	Shift date	Row name
1602188	A12739A-PA		2015-07-15	TN45
M1022469			2015-07-15	TN45
1602318			2015-07-15	TN45
1602319			2015-07-15	TN45
STOP TH 46			2015-07-16	TN45
1602037	A13228B-HU		2015-07-10	TN46
1602015	A13228A-HU		2015-07-11	TN46
1602036			2015-07-11	TN46
1601101	A13264A-SH		2015-07-11	TN46
1601806	A13264A-SH		2015-07-11	TN46
1601802			2015-07-12	TN46
1601803			2015-07-12	TN46
1601264			2015-07-13	TN46
M1022433			2015-07-13	TN46
1602072			2015-07-13	TN46
1602073			2015-07-13	TN46
STOP TH 47			2015-07-16	TN46
Preventive Maintenance			2015-07-16	TN46
1602229			2015-07-10	TN47
1602321			2015-07-11	TN47
1602322			2015-07-11	TN47
1600193	A13281A-SU		2015-07-13	TN47
1600642	A13281A-SU		2015-07-14	TN47
1601297			2015-07-14	TN47
1601298			2015-07-14	TN47
1601299			2015-07-15	TN47
1601300			2015-07-15	TN47
1601301			2015-07-15	TN47
1601302			2015-07-16	TN47
STOP TH 48			2015-07-16	TN47
M/C Cleaning			2015-07-16	TN47
1566054QODD2	?		2015-07-10	TN48
STOP LR 10			2015-07-16	TN48
1592196CQD	1		2015-07-10	LR10
1601974	A13017A-NI/IN001-415		2015-07-13	LR10
1602185	A13017A-NI/IN001-415		2015-07-13	LR10
STOP TH 42.			2015-07-16	LR10
1601768	A12761A-AL		2015-07-10	LR11
1602208	A12761A-AL		2015-07-10	LR11
1602209	A12761A-AL		2015-07-10	LR11
1602212	A12787A-AL		2015-07-10	LR11
1601771			2015-07-11	LR11
1602308			2015-07-11	LR11
1602309			2015-07-11	LR11
1602310			2015-07-11	LR11
1602311			2015-07-11	LR11
1601308			2015-07-12	LR11
1601309			2015-07-12	LR11
1601310			2015-07-12	LR11
1601311			2015-07-12	LR11
1601312			2015-07-12	LR11
STOP LR 12			2015-07-16	LR11
1601088	A13219A-NI		2015-07-11	LR12
1601089	A13219A-NI		2015-07-11	LR12
1602130			2015-07-12	LR12
STOP TH 43			2015-07-16	LR12
1602068	L01627-INV		2015-07-10	Finishing
1602177	L01627-INV		2015-07-11	Finishing
1602197	L01627-INV		2015-07-11	Finishing
1602198	L01627-INV		2015-07-11	Finishing
28 Week E-08			2015-07-14	Finishing
28 Week E-19			2015-07-16	S1
1016166SC			2015-07-16	S1
1016270SC			2015-07-17	S1
1016165SC			2015-07-17	S1
1016777STP			2015-07-18	S1
1601023	A12619A-IS		2015-07-10	S2
1601024	A12619A-IS		2015-07-10	S2
1600874	A12460A-AM		2015-07-12	S2
1600624	A13172A-JI		2015-07-13	S2
1601083	A13033A-PA		2015-07-13	S2
1601667	A13047B-PA		2015-07-15	S2
1601685			2015-07-15	S2
1602102			2015-07-16	S2
1602105			2015-07-17	S2
STOP LR 11			2015-07-17	S2
1601490	A13049A-NI		2015-07-11	S5
1595957	22932-LO		2015-07-12	S5
1601492			2015-07-14	S5
1601493			2015-07-14	S5
1602066			2015-07-16	S5
1602298			2015-07-17	S5
1601496	A13193A-NI		2015-07-12	S3
1601909	A12810C-AM		2015-07-13	S3
1601943	A12428A-PA		2015-07-13	S3
1601915			2015-07-14	S3
1602256			2015-07-14	S3
1602260			2015-07-15	S3
RE DYE			2015-07-11	1
108185DEV			2015-07-10	2
108574DEV			2015-07-11	2
108588DEV			2015-07-12	2
108444DEV	A12847A-AM		2015-07-12	2
108470DEV			2015-07-13	2
108525DEV			2015-07-14	2
108529DEV			2015-07-14	2
108530DEV			2015-07-15	2
108513DEV			2015-07-15	2
108487DEV			2015-07-16	2
108169DEV	A11908C-TH		2015-07-17	2
108431DEV	A12626A-PA		2015-07-18	2
108419DEV			2015-07-18	2
108422DEV			2015-07-19	2
108467DEV			2015-07-20	2
108423DEV			2015-07-20	2
108378DEV			2015-07-21	2
108259DEV			2015-07-21	2
108328DEV			2015-07-22	2
108344DEV			2015-07-23	2
108354DEV			2015-07-23	2
108330DEV			2015-07-24	2
108341DEV			2015-07-25	2
108338DEV			2015-07-25	2
108301DEV			2015-07-26	2
108319DEV			2015-07-27	2
108305DEV			2015-07-27	2
108306DEV			2015-07-28	2
108296DEV			2015-07-29	2
108298DEV			2015-07-29	2
108297DEV			2015-07-30	2
RE DYE.			2015-07-10	3
1600660			2015-07-11	3
1597171			2015-07-11	3
1601616			2015-07-11	3
1601693			2015-07-11	3
1601668			2015-07-11	3
Pipe Sample Speed Order			2015-07-12	4
1018861ST	A13189A-SH		2015-07-10	5
1018699STP			2015-07-11	5
1018870ST	A13131C-EM		2015-07-10	6
1601715	?		2015-07-10	Y1
1018901ST			2015-07-11	Y1
1018902ST			2015-07-11	Y1
1018932ST			2015-07-12	Y1
108629DEV			2015-07-13	Y1
1602328	1		2015-07-13	Y1
1602333	1		2015-07-14	Y1
1602323			2015-07-14	Y1
1601717	?		2015-07-14	Y1
1601720	?		2015-07-15	Y1
1592542CFD	?		2015-07-21	Y1
1574373QODF5	?		2015-07-25	Y1
1599834ODD	A12360B-AM		2015-07-25	Y1
1600424	27.06.2015		2015-07-26	Y1
1600425	27.06.2015		2015-07-26	Y1
1593134QDF	?		2015-07-10	Y2
1599430QFF	?		2015-07-10	Y2
1599663QFF	1		2015-07-10	Y2
1599698QFF	?		2015-07-11	Y2
1018926STP			2015-07-11	Y2
1600232QT1	?		2015-07-12	Y2
1602266			2015-07-13	Y2
1602267			2015-07-13	Y2
1602268			2015-07-14	Y2
1602274			2015-07-15	Y2
1602280			2015-07-15	Y2
1602282			2015-07-16	Y2
1602257			2015-07-16	Y2
1600718QFF	?		2015-07-17	Y2
1600984QT	?		2015-07-17	Y2
1586184CKF	1		2015-07-18	Y2
1580732QFR	?		2015-07-18	Y2
1585587CDR	1		2015-07-19	Y2
1585865CDR	1		2015-07-20	Y2
1601675	?		2015-07-20	Y2
108615DEV			2015-07-21	Y2
1596421COC	1		2015-07-22	Y2
1597292QDD	?		2015-07-23	Y2
1599668QFF	1		2015-07-23	Y2
1595422COC	1		2015-07-30	Y2
1594564DP	?		2015-07-10	Y3
1602249	A13288A-TA		2015-07-10	Y3
1018928SCP	A13130A-SH		2015-07-11	Y3
1601729			2015-07-12	Y3
1601730			2015-07-13	Y3
1602294			2015-07-14	Y3
1601724	A12754A-NI		2015-07-14	Y3
1601615	A13177A-PA		2015-07-15	Y3
0721015	A12992B-PA		2015-07-16	Y3
0721016	A12992B-PA		2015-07-16	Y3
0721017	A12992B-PA		2015-07-17	Y3
0721018	A12992B-PA		2015-07-17	Y3
0721019	A12992B-PA		2015-07-18	Y3
0721020	A12992B-PA		2015-07-19	Y3
0721021	A12992B-PA		2015-07-19	Y3
0721022	A12992B-PA		2015-07-20	Y3
0721023	A12992B-PA		2015-07-21	Y3
0721024	A12992B-PA		2015-07-21	Y3
0721025	A12992B-PA		2015-07-22	Y3
0721026	A12992B-PA		2015-07-23	Y3
0721027	A12992B-PA		2015-07-23	Y3
M1022355	A12992B-PA		2015-07-24	Y3
0721029	A12992B-PA		2015-07-25	Y3
0721030	A12992B-PA		2015-07-26	Y3
0721031	A12992B-PA		2015-07-27	Y3
0721032	A12992B-PA		2015-07-27	Y3
0721033	A12992B-PA		2015-07-28	Y3
0721034	A12992B-PA		2015-07-28	Y3
0721035	A12992B-PA		2015-07-29	Y3
0721036	A12992B-PA		2015-07-30	Y3
0721037	A12992B-PA		2015-07-30	Y3
0721102			2015-07-10	Y4
0721103			2015-07-11	Y4
0721104			2015-07-12	Y4
0721105			2015-07-12	Y4
0721106			2015-07-13	Y4
0721107			2015-07-14	Y4
1599495QT	1		2015-07-15	Y4
1600791QT	1		2015-07-16	Y4
1600427QT	1		2015-07-17	Y4
1601152DP	?		2015-07-18	Y4
1602139	09.07.2015		2015-07-19	Y4
1602140	09.07.2015		2015-07-20	Y4
0721074	A13286A-YT		2015-07-21	Y4
1018896SC			2015-07-21	Y4
1018904SC	A12638A-NI		2015-07-22	Y4
0721067	A13241A-YT		2015-07-22	Y4
0721068	A13241A-YT		2015-07-23	Y4
0721069	A13286A-YT		2015-07-24	Y4
0721070	A13286A-YT		2015-07-24	Y4
0721071	A13286A-YT		2015-07-25	Y4
0721072	A13286A-YT		2015-07-26	Y4
0721073	A13286A-YT		2015-07-26	Y4
0721075	A13241A-YT		2015-07-27	Y4
0721076	A13241A-YT		2015-07-27	Y4
0721077	A13286A-YT		2015-07-28	Y4
0721078	A13286A-YT		2015-07-29	Y4
0721079	A13286A-YT		2015-07-29	Y4
0721080	A13286A-YT		2015-07-30	Y4
1018923SC	A12201D-TH		2015-07-10	Y5
1018924SC	A12201D-TH		2015-07-10	Y5
1018927SCP	A13130A-SH		2015-07-11	Y5
1018928SC			2015-07-11	Y5
1018929SCP	A12634A-PA		2015-07-12	Y5
1582565CKF	1		2015-07-13	Y5
1583806QFF2	?		2015-07-13	Y5
1599661QFF1	1		2015-07-13	Y5
1601017QKF	1		2015-07-14	Y5
1602161	?		2015-07-16	Y5
1602193			2015-07-18	Y5
1602178	09.07.2015		2015-07-19	Y5
