DYE MACHINE	Actual St/ Code	Extended status	Shift date	Row name
1598416	A12580A-PA	Recipe Ready	2015-07-12	ECO 13
1598524	A13002A-AM	Recipe Ready	2015-07-12	ECO 13
M1022340	A13002A-AM	Recipe Ready	2015-07-13	ECO 13
1599890	A13002A-AM	Recipe Ready	2015-07-13	ECO 13
1599579	A13002A-AM	Recipe Ready	2015-07-13	ECO 13
1599588	A13002A-AM	Recipe Ready	2015-07-14	ECO 13
1600052	A12985B-AM	Recipe Ready	2015-07-10	LR 01
1600742	A13219A-NI	Recipe Ready	2015-07-10	LR 01
1601515	A12985B-AM	Recipe Ready	2015-07-10	LR 01
1601519	A12985B-AM	Recipe Ready	2015-07-11	LR 01
1601520	A12985B-AM	Recipe Ready	2015-07-11	LR 01
1601521	A12985B-AM	Recipe Ready	2015-07-12	LR 01
1601516	A12985B-AM	Recipe Ready	2015-07-12	LR 01
1601518	A12985B-AM	Recipe Ready	2015-07-12	LR 01
1601517	A12985B-AM	Recipe Ready	2015-07-13	LR 01
M1022348	A12635D-LI	Recipe Ready	2015-07-10	LR 02
1597699	A12635D-LI	Recipe Ready	2015-07-10	LR 02
1597700	A12635D-LI	Recipe Ready	2015-07-11	LR 02
1601633	A12952A-AM	Recipe Ready	2015-07-14	LR 02
1601626	A13047B-PA	Recipe Ready	2015-07-10	LR 03
M1022419	A13047B-PA	Recipe Ready	2015-07-10	LR 03
M1022394	23054	Recipe Ready	2015-07-11	LR 03
1601792	A13172A-JI	Recipe Ready	2015-07-11	LR 03
1601118	A13193A-NI	Recipe Ready	2015-07-10	LR 04
1601119	A13193A-NI	Recipe Ready	2015-07-10	LR 04
M1022393	A13193A-NI	Recipe Ready	2015-07-10	LR 04
M1022447	A12985B-AM	Recipe Ready	2015-07-12	LR 04
1601773	A13018A-NI	Recipe Ready	2015-07-10	LR 06
M1022428	A13109A-NI	Recipe Ready	2015-07-10	LR 06
1601331	A13170A-NI	Recipe Ready	2015-07-10	LR 07
M1022412	A13170A-NI	Recipe Ready	2015-07-10	LR 07
1601333	A13169A-NI	Recipe Ready	2015-07-10	LR 07
M1022429	A13169A-NI	Recipe Ready	2015-07-11	LR 07
1601775	A13169A-NI	Recipe Ready	2015-07-11	LR 07
1602092	A13266A-NI	Recipe Ready	2015-07-12	LR 07
M1022438	A13266A-NI	Recipe Ready	2015-07-12	LR 07
1601020	A13160B-AM	Recipe Ready	2015-07-10	LR 08
1601514	A12985A-AM	Recipe Ready	2015-07-11	LR 08
1598995	A13160A-AM	Recipe Ready	2015-07-11	LR 08
1601321	A13160A-AM	Recipe Ready	2015-07-11	LR 08
1601322	A13111A-AM	Recipe Ready	2015-07-12	LR 08
1601323	A13160B-AM	Recipe Ready	2015-07-12	LR 08
1601324	A13160B-AM	Recipe Ready	2015-07-13	LR 08
1601340	A12739A-PA	Recipe Ready	2015-07-11	LR 09
M1022414	A12646A-PA	Recipe Ready	2015-07-12	LR 09
1601205	A12468A-PA	Recipe Ready	2015-07-10	TN40
1601923	A13172B-JI	Recipe Ready	2015-07-10	TN40
1601924	A13172B-JI	Recipe Ready	2015-07-11	TN40
1601925	A13172A-JI	Recipe Ready	2015-07-11	TN40
1601926	A13172A-JI	Recipe Ready	2015-07-11	TN40
1601918	A13172B-JI	Recipe Ready	2015-07-11	TN40
1601919	A13172B-JI	Recipe Ready	2015-07-12	TN40
1601920	A13172B-JI	Recipe Ready	2015-07-12	TN40
M1022426	A13172B-JI	Recipe Ready	2015-07-12	TN40
1601840	A12930A-NI	Recipe Ready	2015-07-10	TN43
M1022470	A12742A-PA	Recipe Ready	2015-07-10	TN43
M1022471	A12742A-PA	Recipe Ready	2015-07-11	TN43
1600670	A13030A-PA	Recipe Ready	2015-07-10	TN45
1601545	A13188A-TH	Recipe Ready	2015-07-11	TN45
1600221	A13160A-AM	Recipe Ready	2015-07-11	TN45
1601306	A13160B-AM	Recipe Ready	2015-07-11	TN45
1601307	A13160B-AM	Recipe Ready	2015-07-11	TN45
1601551	A12742A-PA	Recipe Ready	2015-07-12	TN45
1601556	A12739A-PA	Recipe Ready	2015-07-13	TN45
1601552	A12739A-PA	Recipe Ready	2015-07-13	TN45
M1022440	A12739A-PA	Recipe Ready	2015-07-14	TN45
M1022442	A12742A-PA	Recipe Ready	2015-07-14	TN45
M1022456	A12597A-PA	Recipe Ready	2015-07-15	TN45
1600849	5000999001	Recipe Ready	2015-07-17	TN45
1600850	5000999001	Recipe Ready	2015-07-18	TN45
1600186	A13281A-SU	Recipe Ready	2015-07-11	TN47
1600187	A13281A-SU	Recipe Ready	2015-07-11	TN47
1600188	A13281A-SU	Recipe Ready	2015-07-12	TN47
1600189	A13281A-SU	Recipe Ready	2015-07-12	TN47
1600190	A13281A-SU	Recipe Ready	2015-07-12	TN47
1600191	A13281A-SU	Recipe Ready	2015-07-13	TN47
1600192	A13281A-SU	Recipe Ready	2015-07-13	TN47
1600785	A12886B-AM	Recipe Ready	2015-07-10	TN48
1602287	A12886B-AM	Recipe Ready	2015-07-11	TN48
1601067	A13017A-NI/IN001-415	Recipe Ready	2015-07-10	LR10
1600592	A13219A-NI	Recipe Ready	2015-07-11	LR10
1601969	A13017A-NI/IN001-415	Recipe Ready	2015-07-11	LR10
1601970	A13017A-NI/IN001-415	Recipe Ready	2015-07-12	LR10
1601971	A13017A-NI/IN001-415	Recipe Ready	2015-07-12	LR10
1601972	A13017A-NI/IN001-415	Recipe Ready	2015-07-12	LR10
M1022455	A13017A-NI/IN001-415	Recipe Ready	2015-07-13	LR10
1601973	A13017A-NI/IN001-415	Recipe Ready	2015-07-13	LR10
1601304	A13160B-AM	Recipe Ready	2015-07-10	LR11
1601305	A13160B-AM	Recipe Ready	2015-07-10	LR11
M1022458	A12761A-AL	Recipe Ready	2015-07-10	LR11
M1022420		Recipe Ready	2015-07-16	LR11
1600734	A12992A-PA	Recipe Ready	2015-07-10	LR12
1600737	A12992A-PA	Recipe Ready	2015-07-10	LR12
1601087	A13219A-NI	Recipe Ready	2015-07-11	LR12
M1022306	A13219A-NI	Recipe Ready	2015-07-11	LR12
1600735	A12992A-PA	Recipe Ready	2015-07-12	LR12
1597819	A12848B-AM	Recipe Ready	2015-07-18	S1
M1022300	A12619A-IS	Recipe Ready	2015-07-10	S2
1593787	A13008A-TA	Recipe Ready	2015-07-11	S2
1597476	A12870A-NI	Recipe Ready	2015-07-12	S2
1597201	A12599A-AM	Recipe Ready	2015-07-11	S5
1601494	A13049A-NI	Recipe Ready	2015-07-15	S5
1601781	A13130A-SH	Recipe Ready	2015-07-16	S5
1598994	A12219A-AM	Recipe Ready	2015-07-10	S3
1601782	A13130A-SH	Recipe Ready	2015-07-12	S3
1597311ODD1	?	Recipe Ready	2015-07-24	Y1
1589897QODD1	?	Recipe Ready	2015-07-24	Y1
1587468ZD2	?	Recipe Ready	2015-07-22	Y2
1569606QODF1	?	Recipe Ready	2015-07-10	Y4
1543676DD	A11759A-AT	Recipe Ready	2015-07-26	Y8
